The English (United States) version of this software update installs files that have the attributes that are listed in the following tables.,,,,,,,
,,,,,,,
Windows 8.1 and Windows Server 2012 R2,,,,,,,
Notes,,,,,,,
The MANIFEST files (.manifest) and MUM files (.mum) that are installed are not listed.,,,,,,,
,,,,,,,
Internet Explorer 11,,,,,,,
Internet Explorer 11 on all supported x86-based versions of Windows 8.1 and Windows Server 2012 R2,,,,,,,
File name,File version,File size,Date,Time,Platform,SP requirement,Service branch
Mshtml.dll.mui,11.0.9600.18538,"242,176",12-Nov-16,20:28,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"243,200",12-Nov-16,21:30,Not applicable,None,Not applicable
Mshtml.dll.mui,11.0.9600.18538,"243,200",12-Nov-16,21:30,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"73,728",16-Aug-14,8:34,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"67,584",16-Aug-14,8:33,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"67,584",16-Aug-14,8:34,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"74,240",16-Aug-14,8:35,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"78,848",16-Aug-14,8:33,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"61,440",16-Aug-14,8:34,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"61,440",16-Aug-14,2:47,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"74,752",16-Aug-14,8:33,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"62,464",16-Aug-14,8:32,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"68,096",16-Aug-14,8:27,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"75,264",16-Aug-14,8:27,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"68,608",16-Aug-14,8:27,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"71,680",16-Aug-14,8:29,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"73,216",16-Aug-14,8:27,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"41,472",16-Aug-14,8:30,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"37,888",16-Aug-14,8:30,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"68,608",16-Aug-14,8:30,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"67,584",16-Aug-14,8:30,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"65,536",16-Aug-14,8:30,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"74,240",16-Aug-14,8:30,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"70,656",16-Aug-14,8:30,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"71,168",16-Aug-14,8:30,Not applicable,None,Not applicable
F12resources.dll.mui,11.0.9600.17278,"71,680",16-Aug-14,8:30,Not applicable,None,Not applicable
